commit	val_bpb	memory_gb	status	description
72c7494	2.321589	11.0	keep	baseline on Mac (depth 4, FINAL_EVAL_BATCH_SIZE=32 for 9.66GB Metal limit)
39cff1f	2.253494	10.8	keep	increase MATRIX_LR 0.04->0.06
52006d3	2.155513	10.8	keep	increase MATRIX_LR 0.06->0.08
reverted	2.203166	10.8	discard	increase MATRIX_LR 0.08->0.12
be9a7ef	2.050625	10.7	keep	halve TOTAL_BATCH_SIZE 2^16->2^15 (more steps)
failed	NA	NA	discard	halve TOTAL_BATCH_SIZE 2^15->2^14 (more steps) (crashed)
af85e19	1.943511	10.7	keep	shorten WARMDOWN_RATIO 0.5->0.3 (hold peak LR longer)
f521f61	1.927584	10.7	keep	shorten WARMDOWN_RATIO 0.3->0.2 (hold peak LR longer)
846341d	1.911884	10.7	keep	increase EMBEDDING_LR 0.6->0.8
reverted	2.007145	10.7	discard	increase EMBEDDING_LR 0.8->1.0
reverted	2.393331	10.7	discard	decrease WEIGHT_DECAY 0.2->0.1
reverted	2.507031	10.7	discard	re-probe MATRIX_LR 0.08->0.10 (after batch/schedule changes)
reverted	2.657537	12.7	discard	HEAD_DIM 128->64 (n_head 2->4, same dim/speed)
reverted	2.516144	10.7	discard	increase UNEMBEDDING_LR 0.004->0.006
reverted	2.147142	10.7	discard	increase SCALAR_LR 0.5->0.7
